,Unnamed: 0,publicacion_id,numeroReacciones,comentarios_procesado,sector,fecha,clasificacion,encoding
70,5,publicacion 224,57,Felicitaciones ,telecomunicacion,2024-07-06,Positive,2
71,6,publicacion 481,222,¡Aprovecha estas vacaciones al máximo con nuestros #PuntosDigitalesGratuitos! Tus niños aprenderán habilidades digitales esenciales de manera divertida y educativa. ¡No te lo pierdas!  #ElNuevoEcuadorResuelve,telecomunicacion,2024-07-04,Positive,2
72,6,publicacion 481,222,Los vacionales de los Puntos Digitales Gratuitos son una opción divertida para aprender y verificarse en las vacaciones,telecomunicacion,2024-07-04,Positive,2
73,6,publicacion 481,222,Únete a las actividades a desarrollarse en los PDG en los vacacionales.. actividades recreativas y de aprendizaje,telecomunicacion,2024-07-04,Positive,2
74,6,publicacion 481,222,Vacacionales en los #PuntosDigitalesGratuitos,telecomunicacion,2024-07-04,Neutral,1
75,6,publicacion 481,222,Excelente trabajo,telecomunicacion,2024-07-04,Positive,2
76,6,publicacion 481,222,"Excelentes ideas para capacitarse, ve pronto a los Puntos Digitales Gratuitos, e inscribete en los cursos a tu elección.",telecomunicacion,2024-07-04,Positive,2
77,6,publicacion 481,222,Escelente trabajo ,telecomunicacion,2024-07-04,Positive,2
78,6,publicacion 481,222,exelente trabajo,telecomunicacion,2024-07-04,Positive,2
79,6,publicacion 481,222,¡Excelente iniciativa! ,telecomunicacion,2024-07-04,Positive,2
80,6,publicacion 481,222,Excelente,telecomunicacion,2024-07-04,Positive,2
82,6,publicacion 481,222,Excelente ,telecomunicacion,2024-07-04,Positive,2
83,6,publicacion 481,222,Excelente iniciativa ,telecomunicacion,2024-07-04,Positive,2
84,6,publicacion 481,222,EXCELENTE...,telecomunicacion,2024-07-04,Positive,2
85,6,publicacion 481,222,Excelente.,telecomunicacion,2024-07-04,Positive,2
86,6,publicacion 481,222,Excelente ,telecomunicacion,2024-07-04,Positive,2
87,6,publicacion 481,222,EXCELENTE LABOR !!!!,telecomunicacion,2024-07-04,Positive,2
88,6,publicacion 481,222,excelente trabajo,telecomunicacion,2024-07-04,Positive,2
89,6,publicacion 481,222,Te esperamos en los Puntos Digitales Gratuitos,telecomunicacion,2024-07-04,Positive,2
90,7,publicacion 361,259,Resuelve ministro la señal móvil  para Pachinche Adentro de Portoviejo.,telecomunicacion,2024-07-04,Positive,2
91,7,publicacion 361,259,Tecnología que resuelve  #ElNuevoEcuadorResuelve . #puntosdigitalesgratuitos,telecomunicacion,2024-07-04,Positive,2
92,7,publicacion 361,259,Transformando digitalmente al país. #ElNuevoEcuadorResuelve,telecomunicacion,2024-07-04,Neutral,1
93,7,publicacion 361,259,Cuando la señal móvil  de Pachinche Adentro de Portoviejo....  Resuelvan!!!!!!!,telecomunicacion,2024-07-04,Positive,2
94,7,publicacion 361,259,Transformando digitalmente al país. #ElNuevoEcuadorResuelve ,telecomunicacion,2024-07-04,Neutral,1
95,7,publicacion 361,259,La era digital #ElNuevoEcuadorResuelve,telecomunicacion,2024-07-04,Neutral,1
96,7,publicacion 361,259,Transformando digitalmente al país. #ElNuevoEcuadorResuelve ,telecomunicacion,2024-07-04,Neutral,1
97,7,publicacion 361,259,"La transformación digital es clave para el progreso de nuestro país. Conectando y empoderando a las familias, estamos construyendo un futuro más prometedor.  #ElNuevoEcuadorResuelve",telecomunicacion,2024-07-04,Positive,2
98,7,publicacion 361,259,"Excelente, la tecnología al servicio de la comunidad.",telecomunicacion,2024-07-04,Positive,2
99,7,publicacion 361,259,Aportando con tecnología a nuestras comunidades...,telecomunicacion,2024-07-04,Neutral,1
100,7,publicacion 361,259,por un nuevo ecuador que todos queremos,telecomunicacion,2024-07-04,Positive,2
101,7,publicacion 361,259,"EXCELENTE TRABAJO SR MINISTRO CESAR,EL NUEVO ECUADOR RESUELVE",telecomunicacion,2024-07-04,Positive,2
102,7,publicacion 361,259,"Excelente, la tecnología al servicio de la comunidad.",telecomunicacion,2024-07-04,Positive,2
103,7,publicacion 361,259,"Excelente, la tecnología al servicio de la comunidad.",telecomunicacion,2024-07-04,Positive,2
104,7,publicacion 361,259,Excelente trabajo!,telecomunicacion,2024-07-04,Positive,2
105,7,publicacion 361,259,"Excelente, la tecnología al servicio de la comunidad.",telecomunicacion,2024-07-04,Positive,2
106,7,publicacion 361,259,Excelente                                                      #ElNuevoEcuadorResuelve,telecomunicacion,2024-07-04,Positive,2
107,7,publicacion 361,259,Transformando vidas,telecomunicacion,2024-07-04,Neutral,1
108,7,publicacion 361,259,Exelente trabajo señor Ministro ,telecomunicacion,2024-07-04,Positive,2
109,7,publicacion 361,259,Exelente ,telecomunicacion,2024-07-04,Positive,2
110,7,publicacion 361,259,CAMBIANDO VIDAS...,telecomunicacion,2024-07-04,Neutral,1
111,7,publicacion 361,259,Excelente ,telecomunicacion,2024-07-04,Positive,2
113,8,publicacion 467,457,La mejor opción para los estidiantes en las vacaciones,telecomunicacion,2024-07-02,Positive,2
114,8,publicacion 467,457,¡Qué gran oportunidad para los jóvenes! La tecnología es el futuro. ¡No pierdan esta chance de aprender y divertirse en los #PuntosDigitalesGratuitos!  #ElNuevoEcuadorResuelve,telecomunicacion,2024-07-02,Positive,2
115,8,publicacion 467,457,"Los Puntos Digitales Gratuitos estamos trabajando en el desarrollo de habilidades de nuestro niños/as, jóvenes y adultos a través de las artes.",telecomunicacion,2024-07-02,Positive,2
116,8,publicacion 467,457,Los Puntos Digitales cambian la vida de las personas que acuden a nuestros espacios físicos,telecomunicacion,2024-07-02,Neutral,1
117,8,publicacion 467,457,Vacaciones tecnológicas #ElNuevoEcuadorResuelve ,telecomunicacion,2024-07-02,Neutral,1
118,8,publicacion 467,457,Puntos digitales Gratuitos tu mejor aliado en estas vacaciones.,telecomunicacion,2024-07-02,Positive,2
119,8,publicacion 467,457,La tecnología es el futuro inscríbete,telecomunicacion,2024-07-02,Neutral,1
120,8,publicacion 467,457, Excelente iniciativa para fomentar el desarrollo de los niños.,telecomunicacion,2024-07-02,Positive,2
121,8,publicacion 467,457,"""Tu potencial es infinito, atrévete a explorarlo."" ",telecomunicacion,2024-07-02,Neutral,1
122,8,publicacion 467,457,Una gran opción para que nuestros hijos mantengan su mente despierta en estas vacaciones,telecomunicacion,2024-07-02,Positive,2
123,8,publicacion 467,457,La mejor opción para los estudiantes en las vacaciones.,telecomunicacion,2024-07-02,Positive,2
124,8,publicacion 467,457,¡Las Vacaciones Tecnológicas te esperan!,telecomunicacion,2024-07-02,Positive,2
125,8,publicacion 467,457,LES INVITAMOS A TODOS LOS ÑIÑOS Y NIÑAS A SER PARTE DE LOS CURSOS VACACIONALES #ELECUADORQUERESUELVE,telecomunicacion,2024-07-02,Positive,2
126,8,publicacion 467,457,Excelente ,telecomunicacion,2024-07-02,Positive,2
127,8,publicacion 467,457,"Excelente noticias para quines desean mejorar sus habilidades tecnológicas, aprovechalas al máximo. en los Puntos Digitales Gratuitos.",telecomunicacion,2024-07-02,Positive,2
128,8,publicacion 467,457,#ElNuevoEcuadorResuelve ,telecomunicacion,2024-07-02,Neutral,1
133,8,publicacion 467,457,Forma parte de esta gran aventura y aprovecha al máximo tus vacaciones en los Puntos Digitales Gratuitos - Mintel,telecomunicacion,2024-07-02,Positive,2
136,8,publicacion 467,457,Los Puntos Digitales gratuitos cambian vidas,telecomunicacion,2024-07-02,Positive,2
137,8,publicacion 467,457,Muy bien ,telecomunicacion,2024-07-02,Positive,2
140,8,publicacion 467,457,Puntos digitales Gratuitos tu mejor aliado en estas vacaciones.,telecomunicacion,2024-07-02,Positive,2
142,8,publicacion 467,457,APROVECHA EL TIEMPO CAPACITATE,telecomunicacion,2024-07-02,Positive,2
144,8,publicacion 467,457,CAMBIANDO VIDAS,telecomunicacion,2024-07-02,Neutral,1
146,8,publicacion 467,457,Excelente Nuevas Oportunidades de fortalecimiento.,telecomunicacion,2024-07-02,Positive,2
152,8,publicacion 467,457,La mejor,telecomunicacion,2024-07-02,Positive,2
153,8,publicacion 467,457,El Nuevo Ecuador Resuelve,telecomunicacion,2024-07-02,Positive,2
154,8,publicacion 467,457,Buen Trabajo,telecomunicacion,2024-07-02,Positive,2
155,8,publicacion 467,457,Información x favor,telecomunicacion,2024-07-02,Positive,2
157,8,publicacion 467,457,"Los Puntos Digitales Gratuitos son espacios donde los niños y niñas pueden aprender sobre tecnología de una manera divertida y dinámica. En estos espacios, los niños podrán participar en talleres, juegos y actividades que les permitirán desarrollar sus habilidades digitales.",telecomunicacion,2024-07-02,Positive,2
158,9,publicacion 347,104,Incluyan a profesionales del pais,telecomunicacion,2024-07-02,Neutral,1
159,10,publicacion 298,624,¡Excelente iniciativa! Es fundamental estar siempre informados y capacitados en temas de ciberseguridad. Proteger nuestros datos es clave para mantenernos seguros en el mundo digital.,telecomunicacion,2024-07-01,Positive,2
160,10,publicacion 298,624,¡Felicidades! La ciberseguridad es esencial para proteger la privacidad de nuestra información personal y profesional.,telecomunicacion,2024-07-01,Positive,2
161,10,publicacion 298,624,"excelente trabajo, a continuar trabajando por los ecuatorianos",telecomunicacion,2024-07-01,Positive,2
162,10,publicacion 298,624,Felicitaciones señor Ministro un excelente  labor,telecomunicacion,2024-07-01,Positive,2
163,10,publicacion 298,624,Excelente Sr Ministro,telecomunicacion,2024-07-01,Positive,2
164,10,publicacion 298,624,"Importante saber cómo protegernos, la ciberseguridad es una gran herramienta",telecomunicacion,2024-07-01,Positive,2
165,10,publicacion 298,624,Excelente trabajo.,telecomunicacion,2024-07-01,Positive,2
166,10,publicacion 298,624,La ciberseguridad es una de nuestras mayores prioridades.,telecomunicacion,2024-07-01,Neutral,1
167,10,publicacion 298,624,Excelente.Adelante siempre,telecomunicacion,2024-07-01,Neutral,1
168,10,publicacion 298,624,Excelente Trabajo la seguridad es primero ,telecomunicacion,2024-07-01,Positive,2
169,10,publicacion 298,624,¡Qué gran esfuerzo! La ciberseguridad es esencial para proteger nuestra información personal y profesional. Es genial ver que se tomen medidas proactivas para educar y concienciar sobre este tema.,telecomunicacion,2024-07-01,Positive,2
170,10,publicacion 298,624,Buen trabajo,telecomunicacion,2024-07-01,Positive,2
171,10,publicacion 298,624,Excelente trabajo ,telecomunicacion,2024-07-01,Positive,2
172,10,publicacion 298,624,Excelente trabajo,telecomunicacion,2024-07-01,Positive,2
173,10,publicacion 298,624,EXCELENTE TRABAJO....,telecomunicacion,2024-07-01,Positive,2
174,10,publicacion 298,624,Excelente Trabajo,telecomunicacion,2024-07-01,Positive,2
175,10,publicacion 298,624,Excelente,telecomunicacion,2024-07-01,Positive,2
176,10,publicacion 298,624,buen trabajo ,telecomunicacion,2024-07-01,Positive,2
177,10,publicacion 298,624,Excelente trabajo Sr. Ministro ,telecomunicacion,2024-07-01,Positive,2
178,10,publicacion 298,624,Buen trabajo.,telecomunicacion,2024-07-01,Positive,2
179,10,publicacion 298,624,Excelente trabajo señor Ministro ,telecomunicacion,2024-07-01,Positive,2
180,10,publicacion 298,624,Excelente,telecomunicacion,2024-07-01,Positive,2
181,10,publicacion 298,624,Excelente,telecomunicacion,2024-07-01,Positive,2
182,10,publicacion 298,624,Excelente,telecomunicacion,2024-07-01,Positive,2
183,10,publicacion 298,624,EXCELENTE ,telecomunicacion,2024-07-01,Positive,2
184,10,publicacion 298,624,buen trabajo,telecomunicacion,2024-07-01,Positive,2
185,10,publicacion 298,624,Excelente ,telecomunicacion,2024-07-01,Positive,2
186,10,publicacion 298,624,EXCELENTE!!,telecomunicacion,2024-07-01,Positive,2
187,10,publicacion 298,624,Excelente ,telecomunicacion,2024-07-01,Positive,2
188,10,publicacion 298,624,Excelente,telecomunicacion,2024-07-01,Positive,2
189,10,publicacion 298,624,Exelente,telecomunicacion,2024-07-01,Positive,2
190,10,publicacion 298,624,Excelente Trabajo,telecomunicacion,2024-07-01,Positive,2
191,10,publicacion 298,624,Excelente ,telecomunicacion,2024-07-01,Positive,2
192,10,publicacion 298,624,Exelente,telecomunicacion,2024-07-01,Positive,2
193,10,publicacion 298,624,Excelente,telecomunicacion,2024-07-01,Positive,2
194,10,publicacion 298,624,EXCELENTE,telecomunicacion,2024-07-01,Positive,2
195,10,publicacion 298,624,Exelente,telecomunicacion,2024-07-01,Positive,2
196,10,publicacion 298,624,Buen trabajo ,telecomunicacion,2024-07-01,Positive,2
197,10,publicacion 298,624,Excelente,telecomunicacion,2024-07-01,Positive,2
198,10,publicacion 298,624,Excelente ,telecomunicacion,2024-07-01,Positive,2
199,10,publicacion 298,624,Buen trabajo,telecomunicacion,2024-07-01,Positive,2
200,10,publicacion 298,624,Excelente,telecomunicacion,2024-07-01,Positive,2
201,10,publicacion 298,624,Excelente,telecomunicacion,2024-07-01,Positive,2
202,10,publicacion 298,624,Buen trabajo,telecomunicacion,2024-07-01,Positive,2
203,10,publicacion 298,624,excelente,telecomunicacion,2024-07-01,Positive,2
204,10,publicacion 298,624,Buen trabajo,telecomunicacion,2024-07-01,Positive,2
205,10,publicacion 298,624,Excelente trabajo,telecomunicacion,2024-07-01,Positive,2
206,10,publicacion 298,624,MUY BIEN SIGAN ASI...,telecomunicacion,2024-07-01,Positive,2
207,10,publicacion 298,624,Gran trabajo,telecomunicacion,2024-07-01,Positive,2
208,10,publicacion 298,624,Felicidades excelente trabajo saludos desde la Provincia de Orellana PDG. El Descanso,telecomunicacion,2024-07-01,Positive,2
209,13,publicacion 133,234,Cuando la señal móvil  pará Pachinche Adentro de Portoviejo,telecomunicacion,2024-07-06,Negative,0
210,13,publicacion 133,234,Los puntos digitales gratuitos siguen apoyando a la niñez y adolescencia de todo el Ecuador,telecomunicacion,2024-07-06,Positive,2
211,13,publicacion 133,234,#ElNuevoEcuadorResuelve,telecomunicacion,2024-07-06,Neutral,1
212,13,publicacion 133,234,Visita los Puntos Digitales Gratuitos,telecomunicacion,2024-07-06,Positive,2
213,13,publicacion 133,234,Los puntos digitales gratuitos siguen apoyando a la niñez y adolescencia de todo el Ecuador#ElNuevoEcuadorResuelve,telecomunicacion,2024-07-06,Positive,2
214,13,publicacion 133,234,#ElNuevoEcuadorResuelve,telecomunicacion,2024-07-06,Neutral,1
215,13,publicacion 133,234,Excelente ,telecomunicacion,2024-07-06,Positive,2
216,13,publicacion 133,234,VISITA TU PUNTO...,telecomunicacion,2024-07-06,Neutral,1
217,13,publicacion 133,234,"Excelente,",telecomunicacion,2024-07-06,Positive,2
219,13,publicacion 133,234,Excelente noticia ,telecomunicacion,2024-07-06,Positive,2
221,14,publicacion 347,344,"Gran proyecto, muy bien expuesto... Manos a la obra para un futuro digital del Ecuador",telecomunicacion,2024-07-06,Positive,2
222,14,publicacion 347,344,Den oportunidades a ing en computacion de todo el pais,telecomunicacion,2024-07-06,Positive,2
223,14,publicacion 347,344,Excelente gestión en el avance tecnológico,telecomunicacion,2024-07-06,Positive,2
224,14,publicacion 347,344,#ElNuevoEcuadorResuelve,telecomunicacion,2024-07-06,Neutral,1
225,14,publicacion 347,344,Excelente gestión en el avance tecnológico,telecomunicacion,2024-07-06,Positive,2
226,14,publicacion 347,344,Excelente trabajo  super,telecomunicacion,2024-07-06,Positive,2
227,14,publicacion 347,344,Fortalecimiento de capacidades en el Ecuador saludos cordiales.,telecomunicacion,2024-07-06,Positive,2
228,14,publicacion 347,344,excelente ,telecomunicacion,2024-07-06,Positive,2
229,14,publicacion 347,344,Excelente ,telecomunicacion,2024-07-06,Positive,2
230,14,publicacion 347,344,EXCELENTE ,telecomunicacion,2024-07-06,Positive,2
231,14,publicacion 347,344,Excelente ,telecomunicacion,2024-07-06,Positive,2
232,14,publicacion 347,344,"Felicidades, excelente gestión.",telecomunicacion,2024-07-06,Positive,2
233,14,publicacion 347,344, EXCELENTE,telecomunicacion,2024-07-06,Positive,2
234,14,publicacion 347,344,Excelente,telecomunicacion,2024-07-06,Positive,2
242,14,publicacion 347,344,EXELENTE,telecomunicacion,2024-07-06,Positive,2
245,14,publicacion 347,344,Chevere,telecomunicacion,2024-07-06,Neutral,1
246,14,publicacion 347,344,Chevere,telecomunicacion,2024-07-06,Neutral,1
247,14,publicacion 347,344,Excelente,telecomunicacion,2024-07-06,Positive,2
248,14,publicacion 347,344,Fortalecimiento de capacidades en el Ecuador,telecomunicacion,2024-07-06,Positive,2
249,15,publicacion 226,130,#ElNuevoEcuadorResuelve ,telecomunicacion,2024-07-06,Neutral,1
250,15,publicacion 226,130,"ElNuevoEcuadorResuelve, excelente trabajo",telecomunicacion,2024-07-06,Positive,2
251,15,publicacion 226,130,#ElNuevoEcuadorResuelve ,telecomunicacion,2024-07-06,Neutral,1
252,15,publicacion 226,130,#ElNuevoEcuadorResuelve,telecomunicacion,2024-07-06,Neutral,1
253,15,publicacion 226,130,#ElNuevoEcuadorResuelve,telecomunicacion,2024-07-06,Neutral,1
254,15,publicacion 226,130,#ElNuevoEcuadorResuelve ,telecomunicacion,2024-07-06,Neutral,1
255,15,publicacion 226,130, Excelente Trabajo,telecomunicacion,2024-07-06,Positive,2
256,15,publicacion 226,130,EXCELENTE...,telecomunicacion,2024-07-06,Positive,2
259,16,publicacion 226,99,Como futuro Administrador Publico sería ideal formar parte de este grupo de accion..,telecomunicacion,2024-06-30,Positive,2
260,16,publicacion 226,99,Maravilloso! Pensar en grande nos impulsa a avanzar ,telecomunicacion,2024-06-30,Positive,2
261,16,publicacion 226,99,#ElNuevoEcuadorResuelve ,telecomunicacion,2024-06-30,Neutral,1
262,16,publicacion 226,99,"Excelente Gestión y trabajo de la Subsecretaría, siempre pensando en el bienestar de  todos los involucrados en el avance tecnológico.",telecomunicacion,2024-06-30,Positive,2
263,16,publicacion 226,99,Y por que no me invitaron a participar?,telecomunicacion,2024-06-30,Neutral,1
264,16,publicacion 226,99,Excelente ,telecomunicacion,2024-06-30,Positive,2
266,17,publicacion 220,690,"Gran representante del Ecuador el Sr. ministro, es grato saber que el Ecuador está presente en un evento tan importante",telecomunicacion,2024-07-06,Positive,2
267,17,publicacion 220,690,Excelente Sr. Ministro,telecomunicacion,2024-07-06,Positive,2
268,17,publicacion 220,690,Es una Excelente Noticia y una gran oportunidad !,telecomunicacion,2024-07-06,Positive,2
269,17,publicacion 220,690,Felicitaciones señor ministro,telecomunicacion,2024-07-06,Positive,2
270,17,publicacion 220,690,"¡Orgullo ecuatoriano en el #MWCShangai!  El ministro César Martín representa al país en este importante evento de innovación y tecnología.  ¡Adelante, Ecuador!",telecomunicacion,2024-07-06,Positive,2
271,17,publicacion 220,690,Excelente  Sr.Ministro,telecomunicacion,2024-07-06,Positive,2
272,17,publicacion 220,690,EXCELENTE,telecomunicacion,2024-07-06,Positive,2
273,17,publicacion 220,690,Excelente trabajo señor Ministro bendiciones,telecomunicacion,2024-07-06,Positive,2
274,17,publicacion 220,690,¡Excelente trabajo! ,telecomunicacion,2024-07-06,Positive,2
275,17,publicacion 220,690,EXCELENTE,telecomunicacion,2024-07-06,Positive,2
276,17,publicacion 220,690,Excelente trabajo,telecomunicacion,2024-07-06,Positive,2
277,17,publicacion 220,690,EXCELENTE.,telecomunicacion,2024-07-06,Positive,2
278,17,publicacion 220,690,Excelente Sr. Ministro,telecomunicacion,2024-07-06,Positive,2
279,17,publicacion 220,690,Excelente ,telecomunicacion,2024-07-06,Positive,2
280,17,publicacion 220,690,EXCELENTE TRABAJO,telecomunicacion,2024-07-06,Positive,2
281,17,publicacion 220,690,Excelente; muchos éxitos a nuestro Ministro; representante de las Telecomunicaciones en muy importante evento; estamos muy bien representados ,telecomunicacion,2024-07-06,Positive,2
282,17,publicacion 220,690,Muchas suerte señor Ministro que todo le vaya muy bien ,telecomunicacion,2024-07-06,Positive,2
283,17,publicacion 220,690,Excelente,telecomunicacion,2024-07-06,Positive,2
284,17,publicacion 220,690,Excelentes noticias ,telecomunicacion,2024-07-06,Positive,2
285,17,publicacion 220,690,Excelentes noticias.,telecomunicacion,2024-07-06,Positive,2
286,17,publicacion 220,690,Excelente ,telecomunicacion,2024-07-06,Positive,2
288,17,publicacion 220,690,Excelente,telecomunicacion,2024-07-06,Positive,2
289,17,publicacion 220,690,Excelentes noticias .,telecomunicacion,2024-07-06,Positive,2
290,17,publicacion 220,690,Exelente,telecomunicacion,2024-07-06,Positive,2
292,17,publicacion 220,690,Excelente,telecomunicacion,2024-07-06,Positive,2
293,17,publicacion 220,690,excelente,telecomunicacion,2024-07-06,Positive,2
294,17,publicacion 220,690,EXCELENTE,telecomunicacion,2024-07-06,Positive,2
297,17,publicacion 220,690,MUY BIEN...,telecomunicacion,2024-07-06,Positive,2
302,17,publicacion 220,690,Excelentes noticias,telecomunicacion,2024-07-06,Positive,2
304,17,publicacion 220,690,Para cuándo la señal móvil para Pachinche Adentro de Portoviejo,telecomunicacion,2024-07-06,Neutral,1
309,17,publicacion 220,690,Excelente trabajo...,telecomunicacion,2024-07-06,Positive,2
312,17,publicacion 220,690,buena interbencion exitos,telecomunicacion,2024-07-06,Positive,2
313,17,publicacion 220,690,Pachinche Adentro de Portoviejo sin señal móvil ,telecomunicacion,2024-07-06,Neutral,1
314,17,publicacion 220,690,excelevte,telecomunicacion,2024-07-06,Neutral,1
315,18,publicacion 480,176,#ElNuevoEcuadorResuelve #PuntosDigitalesGratuitos,telecomunicacion,2024-07-06,Neutral,1
316,18,publicacion 480,176,#ElNuevoEcuadorResuelve ,telecomunicacion,2024-07-06,Neutral,1
318,21,publicacion 367,142,#ElNuevoEcuadorResuelve ,telecomunicacion,2024-06-22,Neutral,1
319,23,publicacion 456,109,"Ministerio Telecomunicaciones Ecuador Arcotel Ecuador Arcotel Guayaquil Daniel Noboa  Azin Alcaldía De Guayaquil Aquiles Alvarez Henriques Obliguen a las compañías de telecomunicaciones  a retirar los millones de cables en desuso que afean nuestras ciudades, solo agregan nunca, retiran Ministerio  porque permiten que extranjeros nos agredan",telecomunicacion,2024-06-22,Negative,0
320,24,publicacion 235,238,Sería importante indique qué beneficio obtuvo para el Ecuador,telecomunicacion,2024-06-22,Positive,2
321,24,publicacion 235,238,"Acertadas palabras del Sr. Ministro, los Puntos Digitales Gratuitos seguiremos trabajando día con día para que la brecha digital disminuya en nuestras comunidades.",telecomunicacion,2024-06-22,Positive,2
322,24,publicacion 235,238,buen trabajo,telecomunicacion,2024-06-22,Positive,2
324,24,publicacion 235,238,Excelente ,telecomunicacion,2024-06-22,Positive,2
325,24,publicacion 235,238,Muy bien Sr Ministro!,telecomunicacion,2024-06-22,Positive,2
326,24,publicacion 235,238,Excelente trabajo,telecomunicacion,2024-06-22,Positive,2
327,24,publicacion 235,238,Excelente servicio.,telecomunicacion,2024-06-22,Positive,2
328,24,publicacion 235,238,#ElNuevoEcuadorResuelve ,telecomunicacion,2024-06-22,Neutral,1
329,24,publicacion 235,238,¡Excelente labor! ,telecomunicacion,2024-06-22,Positive,2
